Original,,,aWhere,,,,,,,,,,,
Village_Sun_colline,Latitude.original,longtitude.original,Latitude.awhere,longtitude.awhere,lat_d,lat_m,lat_o,lat_decimal,lon_d,lon_m,lon_o,lon_decimal,,
59,250.8990021,2846.8804,2508990021,2846880400,2,50,8990021,-2.833333333,28,46,6880400,28.76666667,,
60,250.330307,2845.0414,2503303070,2845041400,2,50,3303070,-2.833333333,28,45,5041400,28.75,,
61,250.3258057,2844.9381,2503258057,2844938100,2,50,3258057,-2.833333333,28,44,4938100,28.73333333,,
62,250.7861938,2844.6738,2507861938,2844673800,2,50,7861938,-2.833333333,28,44,4673800,28.73333333,,
63,216.0229034,2849.4259,2160229034,2849425900,2,16,229034,-2.266666667,28,49,9425900,28.81666667,,
64,216.1708069,2849.3917,2161708069,2849391700,2,16,1708069,-2.266666667,28,49,9391700,28.81666667,,
65,221.6999969,2847.3685,2216999969,2847368500,2,21,6999969,-2.35,28,47,7368500,28.78333333,,
66,219.7839966,2849.4609,2197839966,2849460900,2,19,7839966,-2.316666667,28,49,9460900,28.81666667,,
67,2464029,2840354,2464029000,2840354000,2,46,4029000,-2.766666667,28,40,354000,28.66666667,,
68,2464215,2842762,2464215000,2842762000,2,46,4215000,-2.766666667,28,42,2762000,28.7,,
69,2419361,28340514,2419361000,2834051400,2,41,9361000,-2.683333333,28,34,4051400,28.56666667,,
70,2510935,28474346,2510935000,2847434600,2,51,935000,-2.85,28,47,7434600,28.78333333,,
71,2508616,28474679,2508616000,2847467900,2,50,8616000,-2.833333333,28,47,7467900,28.78333333,,
72,2508616,28474679,2508616000,2847467900,2,50,8616000,-2.833333333,28,47,7467900,28.78333333,,
73,25503464,28447565,2550346400,2844756500,2,55,346400,-2.916666667,28,44,4756500,28.73333333,,
74,2504224,28448940,2504224000,2844894000,2,50,4224000,-2.833333333,28,44,4894000,28.73333333,,
75,2462235,28401738,2462235000,2840173800,2,46,2235000,-2.766666667,28,40,173800,28.66666667,,
76,2502039,284497886,2502039000,2844978860,2,50,2039000,-2.833333333,28,44,4978860,28.73333333,,
77,2508849,28445623,2508849000,2844562300,2,50,8849000,-2.833333333,28,44,4562300,28.73333333,,
78,2506319,28447821,2506319000,2844782100,2,50,6319000,-2.833333333,28,44,4782100,28.73333333,,
79,2159971,28491894,2159971000,2849189400,2,15,9971000,-2.25,28,49,9189400,28.81666667,,
80,2212048,28472715,2212048000,2847271500,2,21,2048000,-2.35,28,47,7271500,28.78333333,,
81,2159971,28491894,2159971000,2849189400,2,15,9971000,-2.25,28,49,9189400,28.81666667,,
82,2202895,28493302,2202895000,2849330200,2,20,2895000,-2.333333333,28,49,9330200,28.81666667,,
